 1.00000	0.00020
 0.98868	0.00151
 0.96735	0.00450
 0.94226	0.00873
 0.91575	0.01392
 0.88895	0.01996
 0.86224	0.02680
 0.83551	0.03450
 0.80816	0.04311
 0.78028	0.05237
 0.75293	0.06150
 0.72799	0.06911
 0.70402	0.07507
 0.67914	0.07984
 0.65265	0.08382
 0.62510	0.08713
 0.59702	0.08980
 0.56855	0.09185
 0.53970	0.09334
 0.51069	0.09431
 0.48157	0.09474
 0.45214	0.09470
 0.42275	0.09422
 0.39336	0.09326
 0.36402	0.09186
 0.33476	0.08999
 0.30549	0.08764
 0.27638	0.08484
 0.24750	0.08155
 0.21877	0.07774
 0.19027	0.07340
 0.16210	0.06853
 0.13437	0.06313
 0.10802	0.05735
 0.08381	0.05119
 0.06282	0.04491
 0.04583	0.03888
 0.03290	0.03349
 0.02332	0.02880
 0.01616	0.02460
 0.01074	0.02069
 0.00668	0.01687
 0.00374	0.01306
 0.00178	0.00927
 0.00062	0.00552
 0.00006	0.00196
 0.00011	-0.00138
 0.00102	-0.00476
 0.00305	-0.00779
 0.00639	-0.01022
 0.01080	-0.01242
 0.01627	-0.01457
 0.02327	-0.01678
 0.03262	-0.01921
 0.04550	-0.02199
 0.06319	-0.02520
 0.08603	-0.02864
 0.11247	-0.03197
 0.14076	-0.03494
 0.16999	-0.03753
 0.19969	-0.03977
 0.22962	-0.04167
 0.25977	-0.04328
 0.29002	-0.04461
 0.32033	-0.04566
 0.35067	-0.04647
 0.38092	-0.04700
 0.41118	-0.04724
 0.44142	-0.04719
 0.47172	-0.04686
 0.50207	-0.04628
 0.53222	-0.04543
 0.56203	-0.04426
 0.59168	-0.04270
 0.62064	-0.04077
 0.64921	-0.03830
 0.67646	-0.03537
 0.70095	-0.03170
 0.72563	-0.02655
 0.75068	-0.02059
 0.77525	-0.01545
 0.80163	-0.01111
 0.82924	-0.00731
 0.85666	-0.00428
 0.88408	-0.00206
 0.91163	-0.00067
 0.93947	0.00001
 0.96625	0.00019
 0.98861	0.00011
 1.00001	-0.00020
