1.0000100	-0.0002000
0.9991365	-0.0001662
0.9982127	-0.0001324
0.9972315	-0.0000988
0.9961859	-0.0000653
0.9950687	-0.0000323
0.9938730	0.0000002
0.9925915	0.0000317
0.9912173	0.0000620
0.9897428	0.0000906
0.9881597	0.0001171
0.9864601	0.0001410
0.9846374	0.0001618
0.9826858	0.0001791
0.9806009	0.0001923
0.9783799	0.0002012
0.9760229	0.0002057
0.9735329	0.0002059
0.9709083	0.0002023
0.9681522	0.0001955
0.9652869	0.0001871
0.9623559	0.0001776
0.9593994	0.0001667
0.9564302	0.0001538
0.9534555	0.0001382
0.9504817	0.0001193
0.9475145	0.0000966
0.9445576	0.0000694
0.9416139	0.0000371
0.9386827	-0.0000008
0.9357586	-0.0000447
0.9328380	-0.0000950
0.9299207	-0.0001518
0.9270084	-0.0002153
0.9241012	-0.0002855
0.9211994	-0.0003627
0.9183033	-0.0004471
0.9154131	-0.0005386
0.9125288	-0.0006376
0.9096507	-0.0007441
0.9067787	-0.0008582
0.9039129	-0.0009802
0.9010533	-0.0011101
0.8982000	-0.0012480
0.8953531	-0.0013942
0.8925124	-0.0015487
0.8896780	-0.0017116
0.8868505	-0.0018831
0.8840285	-0.0020634
0.8812086	-0.0022527
0.8783871	-0.0024513
0.8755632	-0.0026593
0.8727371	-0.0028764
0.8699091	-0.0031026
0.8670790	-0.0033380
0.8642469	-0.0035823
0.8614127	-0.0038357
0.8585765	-0.0040979
0.8557387	-0.0043689
0.8528998	-0.0046487
0.8500604	-0.0049370
0.8472207	-0.0052339
0.8443805	-0.0055394
0.8415399	-0.0058534
0.8386990	-0.0061759
0.8358576	-0.0065068
0.8330161	-0.0068461
0.8301744	-0.0071939
0.8273301	-0.0075502
0.8244801	-0.0079154
0.8216225	-0.0082896
0.8187576	-0.0086725
0.8158855	-0.0090640
0.8130058	-0.0094638
0.8101193	-0.0098716
0.8072244	-0.0102876
0.8043203	-0.0107115
0.8014125	-0.0111424
0.7985223	-0.0115772
0.7956666	-0.0120140
0.7928503	-0.0124529
0.7900695	-0.0128954
0.7873225	-0.0133424
0.7846095	-0.0137945
0.7819280	-0.0142528
0.7792797	-0.0147176
0.7766638	-0.0151894
0.7740672	-0.0156712
0.7714737	-0.0161660
0.7688700	-0.0166763
0.7662560	-0.0172019
0.7636332	-0.0177423
0.7610014	-0.0182972
0.7583587	-0.0188669
0.7557071	-0.0194508
0.7530497	-0.0200478
0.7503743	-0.0206606
0.7476550	-0.0212946
0.7448611	-0.0219554
0.7419842	-0.0226431
0.7390072	-0.0233593
0.7359651	-0.0240928
0.7329985	-0.0248063
0.7301288	-0.0254917
0.7273412	-0.0261503
0.7246218	-0.0267835
0.7219475	-0.0273953
0.7193047	-0.0279881
0.7166898	-0.0285622
0.7141039	-0.0291168
0.7115461	-0.0296515
0.7090140	-0.0301663
0.7065084	-0.0306608
0.7040289	-0.0311345
0.7015717	-0.0315878
0.6991191	-0.0320239
0.6966520	-0.0324460
0.6941590	-0.0328564
0.6916384	-0.0332557
0.6890937	-0.0336436
0.6865236	-0.0340208
0.6839267	-0.0343876
0.6813030	-0.0347445
0.6786520	-0.0350920
0.6759731	-0.0354306
0.6732665	-0.0357608
0.6705318	-0.0360830
0.6677684	-0.0363979
0.6649756	-0.0367061
0.6621521	-0.0370083
0.6592975	-0.0373053
0.6564116	-0.0375978
0.6534907	-0.0378869
0.6505355	-0.0381733
0.6475569	-0.0384568
0.6445768	-0.0387356
0.6416054	-0.0390086
0.6386433	-0.0392755
0.6356882	-0.0395363
0.6327411	-0.0397906
0.6298015	-0.0400384
0.6268692	-0.0402795
0.6239457	-0.0405134
0.6210284	-0.0407403
0.6181105	-0.0409605
0.6151829	-0.0411748
0.6122428	-0.0413838
0.6092904	-0.0415878
0.6063263	-0.0417869
0.6033498	-0.0419815
0.6003613	-0.0421718
0.5973602	-0.0423584
0.5943461	-0.0425414
0.5913208	-0.0427212
0.5882915	-0.0428974
0.5852640	-0.0430699
0.5822397	-0.0432383
0.5792178	-0.0434027
0.5761983	-0.0435630
0.5731813	-0.0437192
0.5701668	-0.0438711
0.5671547	-0.0440187
0.5641454	-0.0441619
0.5611375	-0.0443007
0.5581279	-0.0444353
0.5551142	-0.0445657
0.5520964	-0.0446922
0.5490747	-0.0448148
0.5460490	-0.0449336
0.5430192	-0.0450488
0.5399855	-0.0451604
0.5369479	-0.0452686
0.5339060	-0.0453734
0.5308607	-0.0454749
0.5278129	-0.0455732
0.5247632	-0.0456684
0.5217117	-0.0457604
0.5186582	-0.0458493
0.5156028	-0.0459352
0.5125454	-0.0460181
0.5094862	-0.0460981
0.5064251	-0.0461752
0.5033620	-0.0462495
0.5002972	-0.0463210
0.4972308	-0.0463898
0.4941630	-0.0464559
0.4910938	-0.0465193
0.4880232	-0.0465801
0.4849512	-0.0466382
0.4818777	-0.0466939
0.4788029	-0.0467470
0.4757266	-0.0467977
0.4726488	-0.0468459
0.4695708	-0.0468917
0.4664940	-0.0469351
0.4634194	-0.0469759
0.4603466	-0.0470142
0.4572757	-0.0470498
0.4542067	-0.0470827
0.4511396	-0.0471129
0.4480743	-0.0471403
0.4450110	-0.0471649
0.4419495	-0.0471866
0.4388892	-0.0472053
0.4358291	-0.0472210
0.4327690	-0.0472338
0.4297089	-0.0472437
0.4266489	-0.0472505
0.4235890	-0.0472545
0.4205292	-0.0472554
0.4174694	-0.0472534
0.4144096	-0.0472485
0.4113500	-0.0472405
0.4082904	-0.0472296
0.4052308	-0.0472157
0.4021711	-0.0471989
0.3991115	-0.0471791
